symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2023-07-15,NSE,MF,,buy,false,150.00,50.00,T1153,O1153,2023-07-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2023-07-20,NSE,MF,,buy,false,160.00,50.00,T1154,O1154,2023-07-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2023-07-25,NSE,MF,,buy,false,150.00,20.00,T1155,O1155,2023-07-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2023-08-05,NSE,MF,,buy,false,200.00,50.00,T1156,O1156,2023-08-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2023-08-10,NSE,MF,,buy,false,250.00,20.00,T1157,O1157,2023-08-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2023-08-15,NSE,MF,,buy,false,150.00,50.00,T1158,O1158,2023-08-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2023-08-20,NSE,MF,,buy,false,160.00,50.00,T1159,O1159,2023-08-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2023-08-25,NSE,MF,,buy,false,150.00,20.00,T1160,O1160,2023-08-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2023-09-05,NSE,MF,,buy,false,200.00,50.00,T1161,O1161,2023-09-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2023-09-10,NSE,MF,,buy,false,250.00,20.00,T1162,O1162,2023-09-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2023-09-15,NSE,MF,,buy,false,150.00,50.00,T1163,O1163,2023-09-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2023-09-20,NSE,MF,,buy,false,160.00,50.00,T1164,O1164,2023-09-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2023-09-25,NSE,MF,,buy,false,150.00,20.00,T1165,O1165,2023-09-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2023-10-05,NSE,MF,,buy,false,200.00,50.00,T1166,O1166,2023-10-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2023-10-10,NSE,MF,,buy,false,250.00,20.00,T1167,O1167,2023-10-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2023-10-15,NSE,MF,,buy,false,150.00,50.00,T1168,O1168,2023-10-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2023-10-20,NSE,MF,,buy,false,160.00,50.00,T1169,O1169,2023-10-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2023-10-25,NSE,MF,,buy,false,150.00,20.00,T1170,O1170,2023-10-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2023-11-05,NSE,MF,,buy,false,200.00,50.00,T1171,O1171,2023-11-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2023-11-10,NSE,MF,,buy,false,250.00,20.00,T1172,O1172,2023-11-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2023-11-15,NSE,MF,,buy,false,150.00,50.00,T1173,O1173,2023-11-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2023-11-20,NSE,MF,,buy,false,160.00,50.00,T1174,O1174,2023-11-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2023-11-25,NSE,MF,,buy,false,150.00,20.00,T1175,O1175,2023-11-25T10:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2023-12-05,NSE,MF,,buy,false,200.00,50.00,T1176,O1176,2023-12-05T10:00:00
QUANT SMALL CAP FUND DIRECT PLAN - GROWTH,INF966L01689,2023-12-10,NSE,MF,,buy,false,250.00,20.00,T1177,O1177,2023-12-10T10:00:00
HDFC LARGE & MID CAP FUND - DIRECT PLAN - GROWTH,INF179KA1RQ7,2023-12-15,NSE,MF,,buy,false,150.00,50.00,T1178,O1178,2023-12-15T10:00:00
KOTAK FLEXI CAP FUND - DIRECT PLAN - GROWTH,INF174K01LS2,2023-12-20,NSE,MF,,buy,false,160.00,50.00,T1179,O1179,2023-12-20T10:00:00
NIPPON INDIA GOLD SAVINGS FUND - DIRECT PLAN - GROWTH,INF204K01YC4,2023-12-25,NSE,MF,,buy,false,150.00,20.00,T1180,O1180,2023-12-25T10:00:00
